Street id ; Street name; number of cars driving along the street 
0;a-bhi;7.0
1;b-bddb;5.0
2;b-bdce;3.0
3;b-bdcg;2.0
4;c-fij;3.0
5;d-dif;6.0
6;e-bddi;0.0
7;e-bddc;0.0
8;e-bddf;2.0
9;e-bddh;2.0
10;f-bddh;1.0
11;g-h;0.0
12;g-e;0.0
13;h-bddd;2.0
14;h-bddh;2.0
15;i-bdfc;8.0
16;j-bdfc;4.0
17;ba-bdb;2.0
18;bb-bdb;1.0
19;bc-dge;3.0
20;bd-gbf;4.0
21;be-bbdj;6.0
22;bf-chi;2.0
23;bg-jja;2.0
24;bh-bgda;3.0
25;bh-da;2.0
26;bi-cabc;7.0
27;bj-ce;1.0
28;bj-bgda;6.0
29;ca-bcjh;7.0
30;cb-cgc;10.0
31;cb-cge;2.0
32;cc-fac;5.0
33;cc-ejh;5.0
34;cc-eji;1.0
35;cd-ca;1.0
36;cd-bgda;9.0
37;ce-bebb;5.0
38;ce-bgda;2.0
39;cf-ief;4.0
40;cg-ica;0.0
41;cg-cf;1.0
42;cg-ejg;0.0
43;ch-jib;1.0
44;ci-cgc;1.0
45;cj-bi;3.0
46;da-hbe;1.0
47;da-cj;0.0
48;db-hbd;1.0
49;dc-fhd;11.0
50;dd-bjje;7.0
51;dd-caae;0.0
52;de-ece;1.0
53;df-ecf;1.0
54;dg-bgca;1.0
55;dh-egi;2.0
56;di-dj;1.0
57;di-eb;1.0
58;dj-beda;1.0
59;ea-dh;2.0
60;eb-bcd;1.0
61;ec-dcb;1.0
62;ed-chc;1.0
63;ee-jag;1.0
64;ef-ff;1.0
65;eg-bgbg;2.0
66;eh-bhhh;4.0
67;ei-dhc;0.0
68;ei-bgbg;3.0
69;ej-ff;5.0
70;fa-fh;2.0
71;fb-fg;1.0
72;fc-bbjj;1.0
73;fd-jc;1.0
74;fe-eh;4.0
75;fe-ef;0.0
76;ff-biac;6.0
77;fg-fa;0.0
78;fg-fd;1.0
79;fh-fb;0.0
80;fh-bgbg;2.0
81;fi-bhhc;2.0
82;fi-bbgb;2.0
83;fj-bgcg;1.0
84;fj-cei;3.0
85;ga-dhb;12.0
86;ga-dhd;5.0
87;gb-bigc;15.0
88;gc-bfdg;1.0
89;gd-bhga;2.0
90;ge-bhfh;1.0
91;gf-bigi;1.0
92;gg-bhia;2.0
93;gh-bacj;1.0
94;gi-bfba;5.0
95;gj-bhid;1.0
96;gj-bacj;5.0
97;ha-gfc;1.0
98;hb-ceh;2.0
99;hc-bgcb;1.0
100;hd-jaf;1.0
101;he-bbed;2.0
102;hf-gji;3.0
103;hf-gjj;2.0
104;hg-bjfd;1.0
105;hh-bhih;1.0
106;hi-bfcj;2.0
107;hj-fjh;1.0
108;ia-dfd;2.0
109;ib-beah;3.0
110;ic-ijd;4.0
111;id-ici;0.0
112;id-ja;0.0
113;id-cadg;6.0
114;ie-bhjg;9.0
115;if-bfhj;5.0
116;ig-bhae;5.0
117;ig-ii;1.0
118;ih-ii;2.0
119;ii-bacg;3.0
120;ij-bhac;2.0
121;ij-if;1.0
122;ja-bhjg;2.0
123;jb-fc;1.0
124;jc-hae;1.0
125;jd-caac;6.0
126;je-gjf;8.0
127;jf-bjcj;4.0
128;jf-dda;2.0
129;jg-ji;1.0
130;jg-dda;2.0
131;jh-ifc;4.0
132;ji-dad;7.0
133;jj-bae;1.0
134;jj-baf;1.0
135;jj-bdfb;2.0
136;baa-chh;9.0
137;bab-bad;2.0
138;bac-fhg;2.0
139;bad-dbh;4.0
140;bad-baa;3.0
141;bad-bdfb;3.0
142;bae-fhg;2.0
143;baf-bbh;5.0
144;bag-hii;0.0
145;bag-baa;2.0
146;bag-bdfb;4.0
147;bag-bac;1.0
148;bah-bbh;2.0
149;bai-bbjh;5.0
150;baj-gid;4.0
151;bba-gcf;4.0
152;bbb-gaa;5.0
153;bbc-beba;5.0
154;bbd-bbg;7.0
155;bbe-bebg;5.0
156;bbf-beaj;6.0
157;bbg-bag;7.0
158;bbh-bbc;5.0
159;bbh-ccj;2.0
160;bbi-bcc;5.0
161;bbj-bgid;6.0
162;bca-beef;1.0
163;bca-bbie;2.0
164;bca-beeb;3.0
165;bcb-bidb;3.0
166;bcc-baba;3.0
167;bcc-babb;2.0
168;bcd-beci;1.0
169;bce-ea;1.0
170;bcf-bega;1.0
171;bcf-befg;2.0
172;bcg-bacf;4.0
173;bch-befi;1.0
174;bci-jha;1.0
175;bci-jhb;1.0
176;bcj-baad;4.0
177;bda-bbai;2.0
178;bda-bbab;0.0
179;bdb-jh;2.0
180;bdb-ji;6.0
181;bdc-dgi;1.0
182;bdd-dji;2.0
183;bde-bhg;1.0
184;bde-bhh;2.0
185;bde-bhc;1.0
186;bdf-bdh;6.0
187;bdg-hhe;5.0
188;bdg-bcbe;1.0
189;bdh-biad;6.0
190;bdi-bdg;6.0
191;bdj-jei;1.0
192;bea-bhj;1.0
193;beb-bbgb;7.0
194;bec-fib;5.0
195;bec-bhhd;3.0
196;bed-bbhe;1.0
197;bee-cjh;1.0
198;bef-bia;1.0
199;beg-bbhf;1.0
200;beh-bfgc;0.0
201;bei-jgi;1.0
202;bej-bdjc;5.0
203;bfa-eii;7.0
204;bfb-jgi;1.0
205;bfc-bbef;5.0
206;bfc-ehe;1.0
207;bfc-bbeg;1.0
208;bfc-ehg;4.0
209;bfd-cad;9.0
210;bfe-begd;0.0
211;bfe-begf;7.0
212;bff-bbaa;2.0
213;bff-bbad;0.0
214;bff-bbag;2.0
215;bff-bbah;2.0
216;bff-bbbb;1.0
217;bff-bbbc;1.0
218;bfg-beih;4.0
219;bfh-bejg;3.0
220;bfi-feg;3.0
221;bfj-fee;7.0
222;bga-bjdf;4.0
223;bgb-bjdg;7.0
224;bgb-bjdh;0.0
225;bgc-jda;3.0
226;bgd-hde;2.0
227;bgd-hdb;1.0
228;bge-bgc;3.0
229;bgf-caj;1.0
230;bgg-dbj;1.0
231;bgh-dca;1.0
232;bgi-cba;1.0
233;bgj-bhde;1.0
234;bha-bhia;1.0
235;bhb-bhd;1.0
236;bhc-bcfc;1.0
237;bhd-idh;1.0
238;bhd-idj;4.0
239;bhe-bhh;1.0
240;bhe-bde;4.0
241;bhf-bceh;2.0
242;bhf-bdid;0.0
243;bhf-bhd;4.0
244;bhg-hie;2.0
245;bhh-hie;3.0
246;bhi-hce;5.0
247;bhi-hcg;1.0
248;bhi-bdj;1.0
249;bhj-b;10.0
250;bia-bcfb;1.0
251;bia-bcej;1.0
252;bib-hcf;1.0
253;bib-beg;1.0
254;bib-beh;0.0
255;bic-ddg;3.0
256;bic-ffc;1.0
257;bid-bdbi;7.0
258;bie-big;5.0
259;bif-ecd;10.0
260;big-iaf;0.0
261;big-iac;1.0
262;big-iad;0.0
263;bih-bif;10.0
264;bii-biae;4.0
265;bij-efc;1.0
266;bja-hhh;6.0
267;bjb-efc;4.0
268;bjc-cci;2.0
269;bjd-bdcc;2.0
270;bjd-chg;2.0
271;bje-efb;6.0
272;bjf-bdbc;6.0
273;bjg-bbgc;4.0
274;bjh-bghh;3.0
275;bji-ieb;4.0
276;bjj-cai;5.0
277;caa-cci;2.0
278;cab-bdij;7.0
279;cac-bfc;11.0
280;cad-idi;9.0
281;cae-bdgg;2.0
282;cae-bfdh;1.0
283;caf-bdaf;2.0
284;cag-ee;1.0
285;cah-bji;4.0
286;cah-bgfd;1.0
287;cai-bfic;2.0
288;cai-bghb;5.0
289;caj-bgh;1.0
290;cba-bgg;1.0
291;cbb-befb;1.0
292;cbc-badd;1.0
293;cbd-ghi;2.0
294;cbe-bcag;1.0
295;cbf-bhci;1.0
296;cbg-bcag;2.0
297;cbh-hej;3.0
298;cbh-hfa;3.0
299;cbh-hfb;1.0
300;cbi-eca;6.0
301;cbj-begi;2.0
302;cbj-behi;4.0
303;cca-ccd;0.0
304;cca-ehb;1.0
305;cca-biai;2.0
306;cca-cce;0.0
307;cca-hif;1.0
308;ccb-cbh;5.0
309;ccc-ccb;1.0
310;ccd-cbh;1.0
311;cce-cbh;1.0
312;ccf-bdfe;1.0
313;ccf-bdfg;0.0
314;ccf-bhji;3.0
315;ccg-bbaf;5.0
316;cch-dch;2.0
317;cch-caa;1.0
318;cci-hda;2.0
319;cci-hdb;2.0
320;ccj-cch;3.0
321;cda-bbd;1.0
322;cda-daj;1.0
323;cdb-jhh;1.0
324;cdc-bbgd;1.0
325;cdd-bcdi;5.0
326;cdd-bceb;4.0
327;cde-bbai;11.0
328;cdf-bhcd;1.0
329;cdg-efb;2.0
330;cdh-hga;6.0
331;cdi-bjgj;3.0
332;cdj-hgi;2.0
333;cdj-ced;5.0
334;cea-hgi;3.0
335;cea-hgj;4.0
336;ceb-baaa;8.0
337;cec-cab;5.0
338;cec-hgi;5.0
339;ced-biea;9.0
340;cee-bdb;1.0
341;cef-cadd;1.0
342;ceg-iab;4.0
343;ceh-fi;2.0
344;cei-bibj;3.0
345;cej-eff;2.0
346;cej-ieh;1.0
347;cfa-bidh;1.0
348;cfb-bejj;2.0
349;cfb-bejh;1.0
350;cfc-cfb;3.0
351;cfd-cfc;3.0
352;cfe-cff;4.0
353;cff-cfg;4.0
354;cfg-idj;1.0
355;cfg-idd;0.0
356;cfg-ide;0.0
357;cfh-bcgb;1.0
358;cfh-cfj;1.0
359;cfi-bjea;3.0
360;cfj-bcgc;1.0
361;cga-cfi;3.0
362;cgb-bgjf;1.0
363;cgc-ehc;11.0
364;cgd-ch;1.0
365;cgd-cc;9.0
366;cge-gjb;2.0
367;cgf-cc;2.0
368;cgg-cgi;2.0
369;cgh-gjc;2.0
370;cgi-jcb;3.0
371;cgj-cgh;2.0
372;cha-biha;6.0
373;chb-bcji;7.0
374;chc-jae;1.0
375;chd-cag;1.0
376;che-chg;1.0
377;chf-feh;4.0
378;chg-jj;4.0
379;chh-bje;5.0
380;chh-chf;4.0
381;chi-bahi;0.0
382;chj-be;6.0
383;cia-ich;1.0
384;cib-ich;5.0
385;cic-bfca;8.0
386;cid-bdbg;2.0
387;cid-bdbh;5.0
388;cie-bdb;3.0
389;cif-cii;1.0
390;cig-j;1.0
391;cig-f;1.0
392;cih-cig;1.0
393;cii-bdcb;1.0
394;cij-ccb;2.0
395;cja-cjc;6.0
396;cjb-cij;2.0
397;cjb-cjd;4.0
398;cjc-cjf;3.0
399;cjc-cjh;3.0
400;cjd-cji;1.0
401;cjd-bfgh;3.0
402;cje-cjb;3.0
403;cjf-bdce;3.0
404;cjg-bed;1.0
405;cjg-cjb;3.0
406;cjh-bdcf;3.0
407;cjh-bdch;1.0
408;cji-beji;2.0
409;cji-bfaa;1.0
410;cjj-cja;1.0
411;cjj-bfgh;3.0
412;daa-bjdi;3.0
413;dab-bjfg;4.0
414;dac-bjdi;5.0
415;dad-ddf;3.0
416;dad-dab;4.0
