Intersection id ; number of passing cars 
0 ; 1.0 
1 ; 0.0 
2 ; 2.0 
3 ; 2.0 
4 ; 2.0 
5 ; 0.0 
6 ; 0.0 
7 ; 0.0 
8 ; 0.0 
9 ; 0.0 
10 ; 0.0 
11 ; 0.0 
12 ; 0.0 
13 ; 1.0 
14 ; 1.0 
15 ; 1.0 
16 ; 0.0 
17 ; 1.0 
18 ; 1.0 
19 ; 1.0 
20 ; 0.0 
21 ; 0.0 
22 ; 0.0 
23 ; 0.0 
24 ; 6.0 
25 ; 6.0 
26 ; 6.0 
27 ; 0.0 
28 ; 0.0 
29 ; 3.0 
30 ; 3.0 
31 ; 6.0 
32 ; 5.0 
33 ; 2.0 
34 ; 2.0 
35 ; 0.0 
36 ; 0.0 
37 ; 0.0 
38 ; 0.0 
39 ; 0.0 
40 ; 0.0 
41 ; 0.0 
42 ; 0.0 
43 ; 2.0 
44 ; 10.0 
45 ; 10.0 
46 ; 10.0 
47 ; 10.0 
48 ; 10.0 
49 ; 12.0 
50 ; 2.0 
51 ; 2.0 
52 ; 2.0 
53 ; 0.0 
54 ; 3.0 
55 ; 3.0 
56 ; 40.0 
57 ; 38.0 
58 ; 38.0 
59 ; 0.0 
60 ; 0.0 
61 ; 7.0 
62 ; 7.0 
63 ; 7.0 
64 ; 1.0 
65 ; 0.0 
66 ; 1.0 
67 ; 4.0 
68 ; 3.0 
69 ; 3.0 
70 ; 1.0 
71 ; 0.0 
72 ; 0.0 
73 ; 0.0 
74 ; 2.0 
75 ; 2.0 
76 ; 2.0 
77 ; 1.0 
78 ; 2.0 
79 ; 0.0 
80 ; 2.0 
81 ; 0.0 
82 ; 7.0 
83 ; 7.0 
84 ; 7.0 
85 ; 0.0 
86 ; 1.0 
87 ; 1.0 
88 ; 0.0 
89 ; 1.0 
90 ; 0.0 
91 ; 0.0 
92 ; 0.0 
93 ; 1.0 
94 ; 0.0 
95 ; 0.0 
96 ; 0.0 
97 ; 7.0 
98 ; 7.0 
99 ; 0.0 
100 ; 6.0 
101 ; 0.0 
102 ; 0.0 
103 ; 3.0 
104 ; 0.0 
105 ; 2.0 
106 ; 2.0 
107 ; 1.0 
108 ; 2.0 
109 ; 0.0 
110 ; 1.0 
111 ; 26.0 
112 ; 26.0 
113 ; 26.0 
114 ; 0.0 
115 ; 0.0 
116 ; 0.0 
117 ; 2.0 
118 ; 8.0 
119 ; 0.0 
120 ; 10.0 
121 ; 10.0 
122 ; 0.0 
123 ; 12.0 
124 ; 0.0 
125 ; 0.0 
126 ; 2.0 
127 ; 8.0 
128 ; 12.0 
129 ; 47.0 
130 ; 39.0 
131 ; 0.0 
132 ; 39.0 
133 ; 5.0 
134 ; 5.0 
135 ; 7.0 
136 ; 0.0 
137 ; 8.0 
138 ; 1.0 
139 ; 0.0 
140 ; 1.0 
141 ; 4.0 
142 ; 0.0 
143 ; 2.0 
144 ; 1.0 
145 ; 0.0 
146 ; 0.0 
147 ; 0.0 
148 ; 1.0 
149 ; 1.0 
150 ; 0.0 
151 ; 3.0 
152 ; 2.0 
153 ; 1.0 
154 ; 2.0 
155 ; 1.0 
156 ; 6.0 
157 ; 0.0 
158 ; 7.0 
159 ; 1.0 
160 ; 1.0 
161 ; 0.0 
162 ; 1.0 
163 ; 0.0 
164 ; 0.0 
165 ; 1.0 
166 ; 1.0 
167 ; 2.0 
168 ; 2.0 
169 ; 1.0 
170 ; 1.0 
171 ; 7.0 
172 ; 0.0 
173 ; 0.0 
174 ; 6.0 
175 ; 6.0 
176 ; 0.0 
177 ; 3.0 
178 ; 0.0 
179 ; 2.0 
180 ; 4.0 
181 ; 4.0 
182 ; 4.0 
183 ; 0.0 
184 ; 26.0 
185 ; 25.0 
186 ; 0.0 
187 ; 25.0 
188 ; 0.0 
189 ; 0.0 
190 ; 0.0 
191 ; 3.0 
192 ; 8.0 
193 ; 0.0 
194 ; 11.0 
195 ; 10.0 
196 ; 0.0 
197 ; 12.0 
198 ; 37.0 
199 ; 34.0 
200 ; 26.0 
201 ; 8.0 
202 ; 2.0 
203 ; 48.0 
204 ; 10.0 
205 ; 38.0 
206 ; 41.0 
207 ; 7.0 
208 ; 2.0 
209 ; 3.0 
210 ; 9.0 
211 ; 9.0 
212 ; 2.0 
213 ; 4.0 
214 ; 4.0 
215 ; 3.0 
216 ; 1.0 
217 ; 2.0 
218 ; 3.0 
219 ; 0.0 
220 ; 0.0 
221 ; 0.0 
222 ; 1.0 
223 ; 0.0 
224 ; 0.0 
225 ; 3.0 
226 ; 1.0 
227 ; 1.0 
228 ; 3.0 
229 ; 8.0 
230 ; 8.0 
231 ; 4.0 
232 ; 7.0 
233 ; 1.0 
234 ; 0.0 
235 ; 1.0 
236 ; 1.0 
237 ; 0.0 
238 ; 0.0 
