Street id ; Street name; number of cars driving along the street 
0;igii-ifha;0.0
1;igii-igih;0.0
2;igii-igij;0.0
3;iae-gjc;0.0
4;iae-iad;1.0
5;iae-iaf;1.0
6;gdfi-gdfj;0.0
7;gdfi-geda;0.0
8;gdfi-gcig;1.0
9;ffej-fgcb;0.0
10;ffej-fffa;0.0
11;ffej-ffei;0.0
12;ffej-fehh;5.0
13;ddc-edi;0.0
14;ddc-ddb;0.0
15;ddc-ddd;6.0
16;gejj-gfaa;0.0
17;gejj-gech;0.0
18;gejj-geji;0.0
19;gejj-ggbj;0.0
20;iade-iadf;0.0
21;iade-iadd;0.0
22;iade-hjgc;0.0
23;iade-ibag;0.0
24;gccb-gcca;0.0
25;gccb-gccc;0.0
26;gccb-gcjd;4.0
27;gccb-gbah;0.0
28;jdbb-jdif;0.0
29;jdbb-jdba;0.0
30;jdbb-jcdh;0.0
31;jdbb-jdbc;11.0
32;fcgc-fcgb;0.0
33;fcgc-fdie;0.0
34;fcgc-fcgd;0.0
35;fcgc-fbii;0.0
36;decc-ddei;0.0
37;decc-dejg;0.0
38;decc-decd;1.0
39;decc-decb;2.0
40;jfhe-jgeg;0.0
41;jfhe-jeii;8.0
42;jfhe-jfhf;3.0
43;fahd-ejjj;0.0
44;fahd-fbeh;0.0
45;fahd-fahe;0.0
46;fahd-fahc;0.0
47;eecg-edfc;0.0
48;eecg-efea;0.0
49;eecg-eecf;0.0
50;ejab-eiaf;0.0
51;ejab-ejaa;0.0
52;ejab-ejac;1.0
53;bhbh-bgdf;0.0
54;bhbh-bhbg;0.0
55;bhbh-bhbi;1.0
56;bhbh-bhjb;3.0
57;bcce-bccd;1.0
58;bcce-bccf;3.0
59;bcce-bbba;9.0
60;bage-bagf;0.0
61;bage-bbeg;0.0
62;bage-bagd;0.0
63;bage-jja;8.0
64;diec-djbe;0.0
65;diec-dieb;0.0
66;diec-dhha;1.0
67;diec-died;1.0
68;ijej-jaef;0.0
69;ijej-iihh;0.0
70;ijej-ijei;5.0
71;ggca-ggbj;0.0
72;ggca-ggcb;7.0
73;ggca-gfaa;0.0
74;gjej-hafj;0.0
75;gjej-gjfa;0.0
76;gjej-gigd;11.0
77;gjej-gjei;5.0
78;ehji-ehjj;0.0
79;ehji-ehcg;21.0
80;ehji-eija;0.0
81;cfde-cfdf;0.0
82;cfde-cgai;0.0
83;cfde-cfdd;0.0
84;cfde-ceee;0.0
85;cgbh-cgbi;0.0
86;cgbh-cgjb;10.0
87;cgbh-cfed;1.0
88;dij-dja;33.0
89;dij-dii;1.0
90;dij-chj;0.0
91;hhfj-hhfi;0.0
92;hhfj-hgib;32.0
93;hhfj-hhga;16.0
94;dbeb-dagj;0.0
95;dbeb-dbea;0.0
96;dbeb-dccj;13.0
97;cdbj-cceh;0.0
98;cdbj-cdbi;0.0
99;cdbj-cebb;0.0
100;gfdf-gfdg;0.0
101;gfdf-gfde;6.0
102;gfdf-ggef;0.0
103;fidj-fjbd;0.0
