Intersection id ; number of passing cars 
0 ; 49.0 
1 ; 282.0 
2 ; 412.0 
3 ; 178.0 
4 ; 232.0 
5 ; 179.0 
6 ; 530.0 
7 ; 401.0 
8 ; 546.0 
9 ; 371.0 
10 ; 301.0 
11 ; 448.0 
12 ; 472.0 
13 ; 311.0 
14 ; 365.0 
15 ; 231.0 
16 ; 78.0 
17 ; 388.0 
18 ; 263.0 
19 ; 222.0 
20 ; 266.0 
21 ; 160.0 
22 ; 200.0 
23 ; 221.0 
24 ; 138.0 
25 ; 209.0 
26 ; 337.0 
27 ; 278.0 
28 ; 179.0 
29 ; 247.0 
30 ; 188.0 
31 ; 82.0 
32 ; 289.0 
33 ; 352.0 
34 ; 258.0 
35 ; 94.0 
36 ; 217.0 
37 ; 172.0 
38 ; 248.0 
39 ; 197.0 
40 ; 188.0 
41 ; 187.0 
42 ; 91.0 
43 ; 105.0 
44 ; 178.0 
45 ; 247.0 
46 ; 135.0 
47 ; 186.0 
48 ; 231.0 
49 ; 303.0 
50 ; 263.0 
51 ; 243.0 
52 ; 156.0 
53 ; 97.0 
54 ; 278.0 
55 ; 132.0 
56 ; 171.0 
57 ; 191.0 
58 ; 157.0 
59 ; 169.0 
60 ; 229.0 
61 ; 171.0 
62 ; 104.0 
63 ; 104.0 
64 ; 158.0 
65 ; 168.0 
66 ; 161.0 
67 ; 131.0 
68 ; 115.0 
69 ; 129.0 
70 ; 59.0 
71 ; 74.0 
72 ; 92.0 
73 ; 194.0 
74 ; 183.0 
75 ; 153.0 
76 ; 65.0 
77 ; 69.0 
78 ; 121.0 
79 ; 103.0 
80 ; 208.0 
81 ; 188.0 
82 ; 103.0 
83 ; 141.0 
84 ; 134.0 
85 ; 156.0 
86 ; 94.0 
87 ; 185.0 
88 ; 152.0 
89 ; 92.0 
90 ; 121.0 
91 ; 92.0 
92 ; 79.0 
93 ; 179.0 
94 ; 117.0 
95 ; 147.0 
96 ; 113.0 
97 ; 78.0 
98 ; 81.0 
99 ; 163.0 
100 ; 66.0 
101 ; 126.0 
102 ; 100.0 
103 ; 115.0 
104 ; 49.0 
105 ; 150.0 
106 ; 68.0 
107 ; 60.0 
108 ; 103.0 
109 ; 102.0 
110 ; 58.0 
111 ; 88.0 
112 ; 259.0 
113 ; 108.0 
114 ; 172.0 
115 ; 146.0 
116 ; 69.0 
117 ; 80.0 
118 ; 89.0 
119 ; 94.0 
120 ; 89.0 
121 ; 109.0 
122 ; 61.0 
123 ; 98.0 
124 ; 83.0 
125 ; 52.0 
126 ; 97.0 
127 ; 123.0 
128 ; 74.0 
129 ; 70.0 
130 ; 94.0 
131 ; 155.0 
132 ; 82.0 
133 ; 80.0 
134 ; 119.0 
135 ; 77.0 
136 ; 59.0 
137 ; 123.0 
138 ; 112.0 
139 ; 83.0 
140 ; 77.0 
141 ; 82.0 
142 ; 147.0 
143 ; 142.0 
144 ; 85.0 
145 ; 97.0 
146 ; 78.0 
147 ; 142.0 
148 ; 132.0 
149 ; 82.0 
150 ; 42.0 
151 ; 31.0 
152 ; 152.0 
153 ; 53.0 
154 ; 163.0 
155 ; 86.0 
156 ; 114.0 
157 ; 155.0 
158 ; 69.0 
159 ; 109.0 
160 ; 85.0 
161 ; 60.0 
162 ; 124.0 
163 ; 83.0 
164 ; 64.0 
165 ; 82.0 
166 ; 97.0 
167 ; 90.0 
168 ; 89.0 
169 ; 108.0 
170 ; 80.0 
171 ; 48.0 
172 ; 80.0 
173 ; 44.0 
174 ; 36.0 
175 ; 77.0 
176 ; 77.0 
177 ; 121.0 
178 ; 92.0 
179 ; 181.0 
180 ; 41.0 
181 ; 51.0 
182 ; 72.0 
183 ; 35.0 
184 ; 85.0 
185 ; 25.0 
186 ; 101.0 
187 ; 94.0 
188 ; 55.0 
189 ; 109.0 
190 ; 163.0 
191 ; 45.0 
192 ; 68.0 
193 ; 41.0 
194 ; 112.0 
195 ; 133.0 
196 ; 51.0 
197 ; 82.0 
198 ; 127.0 
199 ; 49.0 
200 ; 134.0 
201 ; 149.0 
202 ; 78.0 
203 ; 77.0 
204 ; 93.0 
205 ; 87.0 
206 ; 55.0 
207 ; 43.0 
208 ; 134.0 
209 ; 34.0 
210 ; 55.0 
211 ; 89.0 
212 ; 99.0 
213 ; 45.0 
214 ; 93.0 
215 ; 75.0 
216 ; 136.0 
217 ; 38.0 
218 ; 75.0 
219 ; 135.0 
220 ; 51.0 
221 ; 59.0 
222 ; 69.0 
223 ; 78.0 
224 ; 110.0 
225 ; 47.0 
226 ; 76.0 
227 ; 69.0 
228 ; 128.0 
229 ; 49.0 
230 ; 101.0 
231 ; 64.0 
232 ; 66.0 
233 ; 117.0 
234 ; 62.0 
235 ; 56.0 
236 ; 47.0 
237 ; 48.0 
238 ; 90.0 
239 ; 78.0 
240 ; 72.0 
241 ; 65.0 
242 ; 30.0 
243 ; 47.0 
244 ; 73.0 
245 ; 53.0 
246 ; 57.0 
247 ; 70.0 
248 ; 72.0 
249 ; 71.0 
250 ; 56.0 
251 ; 62.0 
252 ; 38.0 
253 ; 54.0 
254 ; 64.0 
255 ; 78.0 
256 ; 74.0 
257 ; 56.0 
258 ; 61.0 
259 ; 78.0 
260 ; 75.0 
261 ; 45.0 
262 ; 36.0 
263 ; 85.0 
264 ; 142.0 
265 ; 61.0 
266 ; 72.0 
267 ; 44.0 
268 ; 66.0 
269 ; 45.0 
270 ; 30.0 
271 ; 109.0 
272 ; 133.0 
273 ; 49.0 
274 ; 79.0 
275 ; 81.0 
276 ; 105.0 
277 ; 60.0 
278 ; 69.0 
279 ; 110.0 
280 ; 55.0 
281 ; 36.0 
282 ; 70.0 
283 ; 68.0 
284 ; 51.0 
285 ; 47.0 
286 ; 92.0 
287 ; 67.0 
288 ; 37.0 
289 ; 61.0 
290 ; 62.0 
291 ; 53.0 
292 ; 60.0 
293 ; 65.0 
294 ; 45.0 
295 ; 100.0 
296 ; 66.0 
297 ; 78.0 
298 ; 58.0 
299 ; 83.0 
300 ; 49.0 
301 ; 51.0 
302 ; 81.0 
303 ; 49.0 
304 ; 66.0 
305 ; 44.0 
306 ; 94.0 
307 ; 71.0 
