Street id ; Street name; number of cars driving along the street 
0;a-g;2.0
1;g-a;1.0
2;a-i;1.0
3;i-a;3.0
4;a-ef;2.0
5;ef-a;1.0
6;a-fi;0.0
7;fi-a;3.0
8;a-ja;4.0
9;ja-a;3.0
10;a-cci;1.0
11;cci-a;1.0
12;a-ebj;2.0
13;ebj-a;1.0
14;a-gfj;2.0
15;gfj-a;0.0
16;a-ghd;4.0
17;ghd-a;4.0
18;a-hgi;0.0
19;hgi-a;3.0
20;a-jgj;1.0
21;jgj-a;3.0
22;a-bbic;2.0
23;bbic-a;2.0
24;a-bfgh;0.0
25;bfgh-a;5.0
26;a-daei;1.0
27;daei-a;2.0
28;a-daia;5.0
29;daia-a;2.0
30;a-dida;4.0
31;dida-a;0.0
32;a-fehi;2.0
33;fehi-a;7.0
34;a-fiej;5.0
35;fiej-a;2.0
36;a-gabi;3.0
37;gabi-a;0.0
38;a-hded;4.0
39;hded-a;2.0
40;a-hhhg;3.0
41;hhhg-a;4.0
42;b-g;0.0
43;g-b;4.0
44;b-h;1.0
45;h-b;2.0
46;b-i;0.0
47;i-b;0.0
48;b-j;1.0
49;j-b;2.0
50;b-ba;3.0
51;ba-b;1.0
52;b-bc;0.0
53;bc-b;1.0
54;b-bf;0.0
55;bf-b;4.0
56;b-ch;3.0
57;ch-b;1.0
58;b-ci;3.0
59;ci-b;0.0
60;b-db;2.0
61;db-b;0.0
62;b-di;0.0
63;di-b;6.0
64;b-fb;4.0
65;fb-b;2.0
66;b-fg;2.0
67;fg-b;0.0
68;b-hi;1.0
69;hi-b;5.0
70;b-if;1.0
71;if-b;0.0
72;b-bbi;0.0
73;bbi-b;0.0
74;b-bcc;4.0
75;bcc-b;4.0
76;b-bcd;0.0
77;bcd-b;2.0
78;b-bfb;1.0
79;bfb-b;1.0
80;b-bga;4.0
81;bga-b;3.0
82;b-caa;5.0
83;caa-b;2.0
84;b-cda;2.0
85;cda-b;0.0
86;b-cdd;2.0
87;cdd-b;4.0
88;b-ced;0.0
89;ced-b;4.0
90;b-cff;1.0
91;cff-b;5.0
92;b-cfh;1.0
93;cfh-b;1.0
94;b-cfi;2.0
95;cfi-b;2.0
96;b-cgd;2.0
97;cgd-b;0.0
98;b-dcj;1.0
99;dcj-b;3.0
100;b-dhb;1.0
101;dhb-b;1.0
102;b-dhe;1.0
103;dhe-b;1.0
104;b-dhi;2.0
105;dhi-b;1.0
106;b-dif;4.0
107;dif-b;4.0
108;b-eag;2.0
109;eag-b;2.0
110;b-ege;1.0
111;ege-b;3.0
112;b-ehi;4.0
113;ehi-b;4.0
114;b-ejd;3.0
