Intersection id ; number of passing cars 
0 ; 7.0 
1 ; 5.0 
2 ; 5.0 
3 ; 7.0 
4 ; 5.0 
5 ; 5.0 
6 ; 7.0 
7 ; 13.0 
8 ; 11.0 
9 ; 11.0 
10 ; 9.0 
11 ; 11.0 
12 ; 11.0 
13 ; 11.0 
14 ; 7.0 
15 ; 11.0 
16 ; 10.0 
17 ; 11.0 
18 ; 9.0 
19 ; 8.0 
20 ; 7.0 
21 ; 9.0 
22 ; 6.0 
23 ; 7.0 
24 ; 5.0 
25 ; 10.0 
26 ; 9.0 
27 ; 10.0 
28 ; 9.0 
29 ; 11.0 
30 ; 9.0 
31 ; 15.0 
32 ; 16.0 
33 ; 13.0 
34 ; 11.0 
35 ; 12.0 
36 ; 11.0 
37 ; 10.0 
38 ; 9.0 
39 ; 12.0 
40 ; 10.0 
41 ; 11.0 
42 ; 10.0 
43 ; 11.0 
44 ; 10.0 
45 ; 6.0 
46 ; 5.0 
47 ; 8.0 
48 ; 8.0 
49 ; 15.0 
50 ; 14.0 
51 ; 12.0 
52 ; 10.0 
53 ; 7.0 
54 ; 5.0 
55 ; 6.0 
56 ; 4.0 
57 ; 8.0 
58 ; 7.0 
59 ; 11.0 
60 ; 8.0 
61 ; 9.0 
62 ; 9.0 
63 ; 10.0 
64 ; 10.0 
65 ; 12.0 
66 ; 10.0 
67 ; 10.0 
68 ; 11.0 
69 ; 12.0 
70 ; 13.0 
71 ; 15.0 
72 ; 15.0 
73 ; 12.0 
74 ; 11.0 
75 ; 13.0 
76 ; 9.0 
77 ; 10.0 
78 ; 6.0 
79 ; 4.0 
80 ; 4.0 
81 ; 7.0 
82 ; 7.0 
83 ; 9.0 
84 ; 8.0 
85 ; 10.0 
86 ; 6.0 
87 ; 6.0 
88 ; 3.0 
89 ; 7.0 
90 ; 6.0 
91 ; 7.0 
92 ; 8.0 
93 ; 11.0 
94 ; 10.0 
95 ; 13.0 
96 ; 10.0 
97 ; 13.0 
98 ; 14.0 
99 ; 11.0 
100 ; 11.0 
101 ; 5.0 
102 ; 7.0 
103 ; 8.0 
104 ; 7.0 
105 ; 8.0 
106 ; 9.0 
107 ; 9.0 
108 ; 9.0 
109 ; 9.0 
110 ; 8.0 
111 ; 6.0 
112 ; 7.0 
113 ; 6.0 
114 ; 5.0 
115 ; 4.0 
116 ; 4.0 
117 ; 3.0 
118 ; 3.0 
119 ; 5.0 
120 ; 3.0 
121 ; 5.0 
122 ; 4.0 
123 ; 7.0 
124 ; 5.0 
125 ; 5.0 
126 ; 4.0 
127 ; 6.0 
128 ; 4.0 
129 ; 8.0 
130 ; 5.0 
131 ; 9.0 
132 ; 7.0 
133 ; 11.0 
134 ; 12.0 
135 ; 13.0 
136 ; 11.0 
137 ; 10.0 
138 ; 9.0 
139 ; 10.0 
140 ; 11.0 
141 ; 8.0 
142 ; 9.0 
143 ; 6.0 
144 ; 6.0 
145 ; 7.0 
146 ; 7.0 
147 ; 5.0 
148 ; 8.0 
149 ; 9.0 
150 ; 9.0 
151 ; 9.0 
152 ; 7.0 
153 ; 9.0 
154 ; 7.0 
155 ; 8.0 
156 ; 9.0 
157 ; 10.0 
158 ; 8.0 
159 ; 8.0 
160 ; 6.0 
161 ; 5.0 
162 ; 5.0 
163 ; 8.0 
164 ; 6.0 
165 ; 7.0 
166 ; 6.0 
167 ; 11.0 
168 ; 9.0 
169 ; 9.0 
170 ; 6.0 
171 ; 6.0 
172 ; 11.0 
173 ; 12.0 
174 ; 9.0 
175 ; 7.0 
176 ; 7.0 
177 ; 8.0 
178 ; 8.0 
179 ; 7.0 
180 ; 8.0 
181 ; 8.0 
182 ; 5.0 
183 ; 5.0 
184 ; 5.0 
185 ; 9.0 
186 ; 10.0 
187 ; 10.0 
188 ; 8.0 
189 ; 14.0 
190 ; 12.0 
191 ; 15.0 
192 ; 14.0 
193 ; 12.0 
194 ; 14.0 
195 ; 13.0 
196 ; 9.0 
197 ; 10.0 
198 ; 7.0 
199 ; 7.0 
200 ; 10.0 
201 ; 5.0 
202 ; 7.0 
203 ; 7.0 
204 ; 8.0 
205 ; 6.0 
206 ; 3.0 
207 ; 2.0 
208 ; 2.0 
209 ; 5.0 
210 ; 5.0 
211 ; 3.0 
212 ; 2.0 
213 ; 7.0 
214 ; 5.0 
215 ; 5.0 
216 ; 3.0 
217 ; 9.0 
218 ; 8.0 
219 ; 14.0 
220 ; 11.0 
221 ; 11.0 
222 ; 10.0 
223 ; 12.0 
224 ; 12.0 
225 ; 11.0 
226 ; 8.0 
227 ; 10.0 
228 ; 11.0 
229 ; 15.0 
230 ; 11.0 
231 ; 7.0 
232 ; 7.0 
233 ; 8.0 
234 ; 11.0 
235 ; 10.0 
236 ; 11.0 
237 ; 10.0 
238 ; 9.0 
239 ; 17.0 
240 ; 15.0 
241 ; 13.0 
242 ; 11.0 
243 ; 11.0 
244 ; 12.0 
245 ; 9.0 
246 ; 9.0 
247 ; 8.0 
248 ; 7.0 
249 ; 6.0 
250 ; 6.0 
251 ; 3.0 
252 ; 3.0 
253 ; 5.0 
254 ; 4.0 
255 ; 6.0 
256 ; 7.0 
257 ; 9.0 
258 ; 8.0 
259 ; 10.0 
260 ; 9.0 
261 ; 8.0 
262 ; 8.0 
263 ; 12.0 
264 ; 13.0 
265 ; 11.0 
266 ; 10.0 
267 ; 6.0 
268 ; 5.0 
269 ; 4.0 
270 ; 4.0 
271 ; 7.0 
272 ; 9.0 
273 ; 8.0 
274 ; 8.0 
275 ; 16.0 
276 ; 13.0 
277 ; 10.0 
278 ; 7.0 
279 ; 14.0 
280 ; 12.0 
281 ; 18.0 
282 ; 20.0 
283 ; 15.0 
284 ; 11.0 
285 ; 10.0 
286 ; 8.0 
287 ; 9.0 
288 ; 8.0 
289 ; 7.0 
290 ; 7.0 
291 ; 7.0 
292 ; 8.0 
293 ; 10.0 
294 ; 8.0 
295 ; 5.0 
296 ; 5.0 
297 ; 8.0 
298 ; 7.0 
299 ; 9.0 
300 ; 8.0 
301 ; 4.0 
302 ; 4.0 
303 ; 8.0 
304 ; 8.0 
305 ; 10.0 
306 ; 10.0 
307 ; 14.0 
308 ; 12.0 
309 ; 14.0 
310 ; 15.0 
311 ; 12.0 
312 ; 11.0 
313 ; 13.0 
314 ; 8.0 
315 ; 10.0 
316 ; 8.0 
317 ; 9.0 
318 ; 8.0 
319 ; 11.0 
320 ; 13.0 
321 ; 8.0 
322 ; 10.0 
323 ; 12.0 
324 ; 7.0 
325 ; 6.0 
326 ; 7.0 
327 ; 7.0 
328 ; 7.0 
329 ; 8.0 
330 ; 8.0 
331 ; 12.0 
332 ; 12.0 
333 ; 10.0 
334 ; 9.0 
335 ; 13.0 
336 ; 9.0 
337 ; 8.0 
338 ; 7.0 
339 ; 8.0 
340 ; 4.0 
341 ; 7.0 
342 ; 7.0 
343 ; 13.0 
344 ; 11.0 
345 ; 12.0 
346 ; 12.0 
347 ; 7.0 
348 ; 8.0 
349 ; 5.0 
350 ; 4.0 
351 ; 6.0 
352 ; 5.0 
353 ; 3.0 
354 ; 1.0 
355 ; 4.0 
356 ; 4.0 
357 ; 9.0 
358 ; 9.0 
359 ; 15.0 
360 ; 13.0 
361 ; 13.0 
362 ; 10.0 
363 ; 16.0 
364 ; 14.0 
365 ; 13.0 
366 ; 12.0 
367 ; 17.0 
368 ; 13.0 
369 ; 16.0 
370 ; 13.0 
371 ; 10.0 
372 ; 11.0 
373 ; 14.0 
374 ; 12.0 
375 ; 14.0 
376 ; 14.0 
377 ; 14.0 
378 ; 11.0 
379 ; 10.0 
380 ; 9.0 
381 ; 7.0 
382 ; 8.0 
383 ; 10.0 
384 ; 11.0 
385 ; 8.0 
386 ; 7.0 
387 ; 11.0 
388 ; 13.0 
389 ; 15.0 
390 ; 14.0 
391 ; 16.0 
392 ; 13.0 
393 ; 13.0 
394 ; 12.0 
395 ; 12.0 
396 ; 8.0 
397 ; 8.0 
398 ; 6.0 
399 ; 8.0 
400 ; 10.0 
401 ; 8.0 
402 ; 8.0 
403 ; 11.0 
404 ; 8.0 
405 ; 8.0 
406 ; 8.0 
407 ; 11.0 
408 ; 8.0 
409 ; 14.0 
410 ; 13.0 
411 ; 12.0 
412 ; 15.0 
413 ; 19.0 
414 ; 16.0 
415 ; 14.0 
416 ; 14.0 
417 ; 16.0 
418 ; 13.0 
419 ; 13.0 
420 ; 12.0 
421 ; 8.0 
422 ; 7.0 
423 ; 10.0 
424 ; 8.0 
425 ; 7.0 
426 ; 8.0 
427 ; 9.0 
428 ; 6.0 
429 ; 7.0 
430 ; 7.0 
431 ; 10.0 
432 ; 9.0 
433 ; 14.0 
434 ; 12.0 
435 ; 11.0 
436 ; 9.0 
437 ; 8.0 
438 ; 9.0 
439 ; 9.0 
440 ; 7.0 
441 ; 10.0 
442 ; 9.0 
443 ; 8.0 
444 ; 7.0 
445 ; 10.0 
446 ; 9.0 
447 ; 7.0 
448 ; 5.0 
449 ; 3.0 
450 ; 2.0 
451 ; 4.0 
452 ; 5.0 
453 ; 9.0 
454 ; 9.0 
455 ; 11.0 
456 ; 9.0 
457 ; 13.0 
458 ; 11.0 
459 ; 10.0 
460 ; 10.0 
461 ; 9.0 
462 ; 7.0 
463 ; 6.0 
464 ; 5.0 
465 ; 4.0 
466 ; 4.0 
467 ; 9.0 
468 ; 7.0 
469 ; 6.0 
470 ; 5.0 
471 ; 11.0 
472 ; 12.0 
473 ; 10.0 
474 ; 10.0 
475 ; 10.0 
476 ; 8.0 
477 ; 9.0 
478 ; 7.0 
479 ; 9.0 
480 ; 8.0 
481 ; 8.0 
482 ; 7.0 
483 ; 8.0 
484 ; 6.0 
485 ; 5.0 
486 ; 4.0 
487 ; 4.0 
488 ; 7.0 
489 ; 9.0 
490 ; 10.0 
491 ; 11.0 
492 ; 9.0 
493 ; 13.0 
494 ; 12.0 
495 ; 14.0 
496 ; 12.0 
497 ; 11.0 
498 ; 11.0 
499 ; 569.0 
