Intersection id ; number of passing cars 
0 ; 1.0 
1 ; 34.0 
2 ; 45.0 
3 ; 41.0 
4 ; 68.0 
5 ; 16.0 
6 ; 16.0 
7 ; 2.0 
8 ; 49.0 
9 ; 67.0 
10 ; 1.0 
11 ; 46.0 
12 ; 31.0 
13 ; 15.0 
14 ; 55.0 
15 ; 8.0 
16 ; 14.0 
17 ; 35.0 
18 ; 181.0 
19 ; 13.0 
20 ; 19.0 
21 ; 8.0 
22 ; 8.0 
23 ; 62.0 
24 ; 8.0 
25 ; 44.0 
26 ; 21.0 
27 ; 16.0 
28 ; 68.0 
29 ; 15.0 
30 ; 39.0 
31 ; 28.0 
32 ; 185.0 
33 ; 4.0 
34 ; 2.0 
35 ; 68.0 
36 ; 97.0 
37 ; 144.0 
38 ; 259.0 
39 ; 4.0 
40 ; 10.0 
41 ; 70.0 
42 ; 25.0 
43 ; 21.0 
44 ; 5.0 
45 ; 33.0 
46 ; 43.0 
47 ; 53.0 
48 ; 21.0 
49 ; 29.0 
50 ; 34.0 
51 ; 17.0 
52 ; 70.0 
53 ; 2.0 
54 ; 3.0 
55 ; 30.0 
56 ; 4.0 
57 ; 16.0 
58 ; 26.0 
59 ; 17.0 
60 ; 58.0 
61 ; 19.0 
62 ; 158.0 
63 ; 30.0 
64 ; 1.0 
65 ; 1.0 
66 ; 195.0 
67 ; 9.0 
68 ; 39.0 
69 ; 5.0 
70 ; 10.0 
71 ; 23.0 
72 ; 31.0 
73 ; 0.0 
74 ; 34.0 
75 ; 10.0 
76 ; 28.0 
77 ; 28.0 
78 ; 183.0 
79 ; 90.0 
80 ; 6.0 
81 ; 14.0 
82 ; 14.0 
83 ; 73.0 
84 ; 4.0 
85 ; 29.0 
86 ; 2.0 
87 ; 11.0 
88 ; 69.0 
89 ; 10.0 
90 ; 20.0 
91 ; 2.0 
92 ; 290.0 
93 ; 2.0 
94 ; 68.0 
95 ; 7.0 
96 ; 127.0 
97 ; 210.0 
98 ; 29.0 
99 ; 19.0 
100 ; 62.0 
101 ; 18.0 
102 ; 37.0 
103 ; 9.0 
104 ; 29.0 
105 ; 28.0 
106 ; 8.0 
107 ; 100.0 
108 ; 18.0 
109 ; 10.0 
110 ; 19.0 
111 ; 14.0 
112 ; 108.0 
113 ; 2.0 
114 ; 6.0 
115 ; 96.0 
116 ; 71.0 
117 ; 261.0 
118 ; 152.0 
119 ; 218.0 
120 ; 13.0 
121 ; 62.0 
122 ; 137.0 
123 ; 24.0 
124 ; 47.0 
125 ; 12.0 
126 ; 8.0 
127 ; 42.0 
128 ; 121.0 
129 ; 45.0 
130 ; 103.0 
131 ; 38.0 
132 ; 86.0 
133 ; 37.0 
134 ; 14.0 
135 ; 95.0 
136 ; 101.0 
137 ; 24.0 
138 ; 89.0 
139 ; 81.0 
140 ; 15.0 
141 ; 56.0 
142 ; 76.0 
143 ; 46.0 
144 ; 305.0 
145 ; 21.0 
146 ; 10.0 
147 ; 71.0 
148 ; 91.0 
149 ; 31.0 
150 ; 16.0 
151 ; 19.0 
152 ; 93.0 
153 ; 7.0 
154 ; 49.0 
155 ; 20.0 
156 ; 59.0 
157 ; 6.0 
158 ; 415.0 
159 ; 18.0 
160 ; 32.0 
161 ; 67.0 
162 ; 16.0 
163 ; 21.0 
164 ; 20.0 
165 ; 19.0 
166 ; 90.0 
167 ; 19.0 
168 ; 71.0 
169 ; 9.0 
170 ; 45.0 
171 ; 33.0 
172 ; 73.0 
173 ; 12.0 
174 ; 114.0 
175 ; 16.0 
176 ; 59.0 
177 ; 16.0 
178 ; 35.0 
179 ; 50.0 
180 ; 10.0 
181 ; 181.0 
182 ; 6.0 
183 ; 6.0 
184 ; 24.0 
185 ; 200.0 
186 ; 7.0 
187 ; 72.0 
188 ; 17.0 
189 ; 22.0 
190 ; 237.0 
191 ; 25.0 
192 ; 20.0 
193 ; 136.0 
194 ; 71.0 
195 ; 387.0 
196 ; 6.0 
197 ; 17.0 
198 ; 38.0 
199 ; 276.0 
200 ; 15.0 
201 ; 32.0 
202 ; 55.0 
203 ; 5.0 
204 ; 52.0 
205 ; 87.0 
206 ; 21.0 
207 ; 21.0 
208 ; 1.0 
209 ; 10.0 
210 ; 242.0 
211 ; 15.0 
212 ; 277.0 
213 ; 209.0 
214 ; 66.0 
215 ; 3.0 
216 ; 116.0 
217 ; 27.0 
218 ; 85.0 
219 ; 22.0 
220 ; 10.0 
221 ; 8.0 
222 ; 33.0 
223 ; 24.0 
224 ; 9.0 
225 ; 230.0 
226 ; 7.0 
227 ; 79.0 
228 ; 63.0 
229 ; 48.0 
230 ; 6.0 
231 ; 117.0 
232 ; 26.0 
233 ; 21.0 
234 ; 23.0 
235 ; 229.0 
236 ; 144.0 
237 ; 170.0 
238 ; 90.0 
239 ; 21.0 
240 ; 76.0 
241 ; 194.0 
242 ; 17.0 
243 ; 21.0 
244 ; 18.0 
245 ; 28.0 
246 ; 20.0 
247 ; 6.0 
248 ; 8.0 
249 ; 79.0 
250 ; 142.0 
251 ; 23.0 
252 ; 8.0 
253 ; 38.0 
254 ; 15.0 
255 ; 89.0 
256 ; 86.0 
257 ; 195.0 
258 ; 23.0 
259 ; 27.0 
260 ; 98.0 
261 ; 57.0 
262 ; 16.0 
263 ; 49.0 
264 ; 15.0 
265 ; 59.0 
266 ; 16.0 
267 ; 418.0 
268 ; 199.0 
269 ; 17.0 
270 ; 32.0 
271 ; 24.0 
272 ; 38.0 
273 ; 54.0 
274 ; 30.0 
275 ; 207.0 
276 ; 12.0 
277 ; 2.0 
278 ; 114.0 
279 ; 12.0 
280 ; 12.0 
281 ; 169.0 
282 ; 12.0 
283 ; 78.0 
284 ; 530.0 
285 ; 178.0 
286 ; 13.0 
287 ; 83.0 
288 ; 41.0 
289 ; 11.0 
290 ; 36.0 
291 ; 58.0 
292 ; 227.0 
293 ; 27.0 
294 ; 16.0 
295 ; 5.0 
296 ; 2.0 
297 ; 9.0 
298 ; 26.0 
299 ; 163.0 
300 ; 119.0 
301 ; 85.0 
302 ; 18.0 
303 ; 89.0 
304 ; 110.0 
305 ; 218.0 
306 ; 7.0 
307 ; 14.0 
308 ; 24.0 
309 ; 59.0 
310 ; 49.0 
311 ; 251.0 
312 ; 24.0 
313 ; 69.0 
314 ; 31.0 
315 ; 297.0 
316 ; 286.0 
317 ; 28.0 
318 ; 24.0 
319 ; 27.0 
320 ; 261.0 
321 ; 85.0 
322 ; 94.0 
323 ; 9.0 
324 ; 219.0 
325 ; 64.0 
326 ; 14.0 
327 ; 118.0 
328 ; 41.0 
329 ; 49.0 
330 ; 11.0 
331 ; 11.0 
332 ; 43.0 
333 ; 30.0 
334 ; 52.0 
335 ; 69.0 
336 ; 25.0 
337 ; 65.0 
338 ; 13.0 
339 ; 67.0 
340 ; 93.0 
341 ; 80.0 
342 ; 52.0 
343 ; 74.0 
344 ; 9.0 
345 ; 58.0 
346 ; 38.0 
347 ; 12.0 
348 ; 3.0 
349 ; 483.0 
350 ; 34.0 
351 ; 54.0 
352 ; 18.0 
353 ; 62.0 
354 ; 64.0 
355 ; 165.0 
356 ; 225.0 
357 ; 86.0 
358 ; 354.0 
359 ; 26.0 
360 ; 102.0 
361 ; 21.0 
362 ; 29.0 
363 ; 40.0 
364 ; 35.0 
365 ; 35.0 
366 ; 6.0 
367 ; 23.0 
368 ; 25.0 
369 ; 43.0 
370 ; 4.0 
371 ; 26.0 
372 ; 303.0 
373 ; 91.0 
374 ; 78.0 
375 ; 70.0 
376 ; 32.0 
377 ; 30.0 
378 ; 55.0 
379 ; 92.0 
380 ; 275.0 
381 ; 20.0 
382 ; 35.0 
383 ; 13.0 
384 ; 119.0 
385 ; 51.0 
386 ; 72.0 
387 ; 30.0 
388 ; 47.0 
389 ; 325.0 
390 ; 4.0 
391 ; 42.0 
392 ; 55.0 
393 ; 18.0 
394 ; 80.0 
395 ; 1.0 
396 ; 26.0 
397 ; 211.0 
398 ; 15.0 
