Street id ; Street name; number of cars driving along the street 
0;a-b;0.0
1;b-c;0.0
2;c-a;0.0
3;c-d;0.0
4;d-b;0.0
5;d-e;0.0
6;e-c;0.0
7;e-d;0.0
8;b-e;0.0
9;a-f;0.0
10;f-c;0.0
11;f-a;0.0
12;f-b;0.0
13;e-f;0.0
14;a-d;0.0
15;a-g;0.0
16;g-d;0.0
17;d-a;0.0
18;g-a;0.0
19;c-e;0.0
20;a-c;0.0
21;e-h;0.0
22;h-e;0.0
23;e-b;0.0
24;g-f;0.0
25;d-c;0.0
26;g-i;0.0
27;i-f;0.0
28;f-e;0.0
29;a-j;0.0
30;j-a;0.0
31;f-j;0.0
32;g-b;0.0
33;g-ba;0.0
34;ba-b;0.0
35;d-h;0.0
36;ba-bb;0.0
37;bb-d;0.0
38;b-a;0.0
39;f-ba;0.0
40;i-e;0.0
41;g-e;0.0
42;h-bc;0.0
43;bc-j;0.0
44;h-bd;0.0
45;bd-bc;0.0
46;b-bc;0.0
47;bc-be;0.0
48;be-bb;0.0
49;a-h;0.0
50;e-bf;0.0
51;bf-d;0.0
52;d-f;0.0
53;bf-bc;0.0
54;e-bd;0.0
55;bc-a;0.0
56;bd-a;0.0
57;a-bd;0.0
58;b-bf;0.0
59;b-bg;0.0
60;bg-c;0.0
61;c-bh;0.0
62;bh-bb;0.0
63;i-g;0.0
64;e-a;0.0
65;bh-bc;0.0
66;bd-b;0.0
67;ba-bd;0.0
68;h-g;0.0
69;c-bd;0.0
70;a-ba;0.0
71;bh-i;0.0
72;d-bg;0.0
73;ba-d;0.0
74;bf-e;0.0
75;bc-f;1.0
76;j-bh;0.0
77;bg-bi;0.0
78;bi-bg;0.0
79;bh-b;0.0
80;bi-f;0.0
81;f-h;0.0
82;bc-i;0.0
83;bb-bh;0.0
84;bc-bg;0.0
85;bd-f;0.0
86;bc-bj;2.0
87;bj-e;0.0
88;bg-be;0.0
89;e-bi;0.0
90;h-bh;0.0
91;bd-bi;0.0
92;g-j;0.0
93;bc-g;0.0
94;h-ba;0.0
95;g-be;0.0
96;bh-a;0.0
97;c-bc;0.0
98;h-bj;0.0
99;i-h;0.0
100;b-i;0.0
101;ba-f;0.0
102;c-ca;0.0
103;ca-d;0.0
104;bi-ba;0.0
105;ba-cb;0.0
