Intersection id ; number of passing cars 
0 ; 209.0 
1 ; 210.0 
2 ; 202.0 
3 ; 243.0 
4 ; 334.0 
5 ; 493.0 
6 ; 213.0 
7 ; 242.0 
8 ; 366.0 
9 ; 134.0 
10 ; 356.0 
11 ; 278.0 
12 ; 270.0 
13 ; 247.0 
14 ; 240.0 
15 ; 96.0 
16 ; 237.0 
17 ; 217.0 
18 ; 104.0 
19 ; 201.0 
20 ; 108.0 
21 ; 212.0 
22 ; 74.0 
23 ; 154.0 
24 ; 179.0 
25 ; 103.0 
26 ; 199.0 
27 ; 105.0 
28 ; 222.0 
29 ; 129.0 
30 ; 63.0 
31 ; 147.0 
32 ; 150.0 
33 ; 86.0 
34 ; 60.0 
35 ; 78.0 
36 ; 95.0 
37 ; 46.0 
38 ; 68.0 
39 ; 98.0 
40 ; 111.0 
41 ; 107.0 
42 ; 32.0 
43 ; 68.0 
44 ; 58.0 
45 ; 238.0 
46 ; 39.0 
47 ; 112.0 
48 ; 22.0 
49 ; 98.0 
50 ; 88.0 
51 ; 91.0 
52 ; 71.0 
53 ; 129.0 
54 ; 81.0 
55 ; 102.0 
56 ; 87.0 
57 ; 134.0 
58 ; 113.0 
59 ; 80.0 
60 ; 109.0 
61 ; 67.0 
62 ; 81.0 
63 ; 188.0 
64 ; 87.0 
65 ; 91.0 
66 ; 118.0 
67 ; 118.0 
68 ; 58.0 
69 ; 84.0 
70 ; 119.0 
71 ; 166.0 
72 ; 74.0 
73 ; 39.0 
74 ; 61.0 
75 ; 131.0 
76 ; 88.0 
77 ; 65.0 
78 ; 124.0 
79 ; 76.0 
80 ; 113.0 
81 ; 43.0 
82 ; 202.0 
83 ; 133.0 
84 ; 77.0 
85 ; 116.0 
86 ; 80.0 
87 ; 64.0 
88 ; 103.0 
89 ; 116.0 
90 ; 70.0 
91 ; 83.0 
92 ; 27.0 
93 ; 59.0 
94 ; 35.0 
95 ; 100.0 
96 ; 83.0 
97 ; 98.0 
98 ; 69.0 
99 ; 92.0 
100 ; 43.0 
101 ; 66.0 
102 ; 28.0 
103 ; 51.0 
104 ; 52.0 
105 ; 87.0 
106 ; 45.0 
107 ; 73.0 
108 ; 93.0 
109 ; 18.0 
110 ; 64.0 
111 ; 17.0 
112 ; 59.0 
