Street id ; Street name; number of cars driving along the street 
0;a-e;1.0
1;e-a;0.0
2;a-g;2.0
3;g-a;1.0
4;a-i;0.0
5;i-a;2.0
6;a-bi;2.0
7;bi-a;4.0
8;a-bj;2.0
9;bj-a;2.0
10;a-cb;2.0
11;cb-a;1.0
12;a-da;3.0
13;da-a;2.0
14;a-df;2.0
15;df-a;1.0
16;a-di;1.0
17;di-a;2.0
18;a-eb;2.0
19;eb-a;1.0
20;a-gd;2.0
21;gd-a;0.0
22;a-id;1.0
23;id-a;2.0
24;a-ij;3.0
25;ij-a;2.0
26;a-jf;1.0
27;jf-a;2.0
28;a-bah;3.0
29;bah-a;5.0
30;a-bdc;0.0
31;bdc-a;2.0
32;a-bea;7.0
33;bea-a;3.0
34;a-bfe;1.0
35;bfe-a;2.0
36;a-bhi;3.0
37;bhi-a;2.0
38;a-ccj;2.0
39;ccj-a;3.0
40;a-cje;1.0
41;cje-a;1.0
42;a-cji;1.0
43;cji-a;4.0
44;a-dce;4.0
45;dce-a;1.0
46;a-dch;1.0
47;dch-a;4.0
48;a-dda;1.0
49;dda-a;1.0
50;a-dga;1.0
51;dga-a;1.0
52;a-edj;3.0
53;edj-a;2.0
54;a-ehi;0.0
55;ehi-a;1.0
56;a-fgb;6.0
57;fgb-a;3.0
58;a-fha;1.0
59;fha-a;0.0
60;a-fjb;4.0
61;fjb-a;4.0
62;a-hcd;4.0
63;hcd-a;1.0
64;a-heg;1.0
65;heg-a;0.0
66;a-iej;2.0
67;iej-a;0.0
68;a-ihb;1.0
69;ihb-a;5.0
70;a-jfi;0.0
71;jfi-a;1.0
72;a-baac;4.0
73;baac-a;2.0
74;a-babd;3.0
75;babd-a;0.0
76;a-bcfc;1.0
77;bcfc-a;0.0
78;a-bdfi;4.0
79;bdfi-a;1.0
80;a-bdhf;1.0
81;bdhf-a;3.0
82;a-becd;0.0
83;becd-a;1.0
84;a-befg;0.0
85;befg-a;1.0
86;a-bfaf;2.0
87;bfaf-a;4.0
88;a-bgbh;2.0
89;bgbh-a;2.0
90;a-bjie;4.0
91;bjie-a;0.0
92;a-cagi;2.0
93;cagi-a;3.0
94;a-cchi;4.0
95;cchi-a;2.0
96;a-ccie;1.0
97;ccie-a;2.0
98;a-cdha;0.0
99;cdha-a;3.0
100;a-ceae;2.0
101;ceae-a;2.0
102;a-cehe;1.0
103;cehe-a;1.0
104;a-cehf;3.0
105;cehf-a;6.0
106;a-cgae;3.0
107;cgae-a;1.0
108;a-cgdf;1.0
109;cgdf-a;2.0
110;a-chad;1.0
111;chad-a;3.0
112;a-chbe;1.0
113;chbe-a;3.0
114;a-ched;3.0
115;ched-a;3.0
116;a-chhb;3.0
117;chhb-a;1.0
118;a-cjef;2.0
119;cjef-a;1.0
120;a-dafd;1.0
121;dafd-a;1.0
122;a-dcdf;2.0
123;dcdf-a;4.0
124;a-ddbf;0.0
125;ddbf-a;1.0
126;a-dddi;1.0
127;dddi-a;4.0
128;a-ddfb;2.0
129;ddfb-a;3.0
130;a-ddhe;3.0
131;ddhe-a;1.0
132;a-dfbh;7.0
133;dfbh-a;2.0
134;a-dgga;4.0
135;dgga-a;2.0
136;a-dggg;2.0
137;dggg-a;2.0
138;a-dghf;0.0
139;dghf-a;2.0
140;a-didd;1.0
141;didd-a;4.0
142;a-djga;0.0
143;djga-a;2.0
144;a-eaai;1.0
145;eaai-a;6.0
146;a-eafe;2.0
147;eafe-a;2.0
148;a-ebhb;3.0
149;ebhb-a;1.0
150;a-ecij;4.0
151;ecij-a;1.0
152;a-ecje;0.0
153;ecje-a;3.0
154;a-eeag;0.0
155;eeag-a;2.0
156;a-eebh;2.0
157;eebh-a;4.0
158;a-efba;1.0
159;efba-a;0.0
